run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
291	19	562	3	2	14	0	0	1001	1028.30	115.52	120.90	-419.30	1351.5	13	1000080160	8	0
291	19	1056	1	0	12	0	10	1000	1297.70	-95.76	137.20	500.24	831.7	11	1000180400	48	0
291	19	1655	1	0	12	0	1	1003	602.25	132.94	108.50	265.08	1374.9	11	1000180400	11	1
291	19	3596	2	0	-12	0	1	1000	4614.65	-95.81	-118.63	104.25	1577.6	-11	1000180400	14	1
291	19	3596	2	1	14	0	2	1091	4339.67	179.83	-149.20	114.66	252.2	13	1000180400	13	1
291	19	3726	1	0	12	0	0	1001	1332.41	147.21	186.70	347.97	110.2	11	1000180400	9	1
291	19	4976	1	0	12	0	10	1000	1609.43	144.23	9.85	351.26	979.6	11	1000180400	36	1
291	19	6515	2	0	12	0	0	1001	524.07	161.57	-153.98	27.80	1501.6	11	1000180400	8	1
291	19	6515	2	1	14	1	1	1007	2793.25	-598.56	-181.54	1343.74	1128.6	14	1000140280	16	0
291	19	7520	1	0	12	0	0	1001	764.07	155.81	194.14	415.67	1248.8	11	1000180400	10	1
291	19	7906	3	0	14	0	1	1003	1292.48	-527.49	361.00	248.35	1279.5	13	1000140280	27	0
291	19	7906	3	1	14	0	10	1000	475.46	88.65	-206.91	406.70	262.6	13	1000180400	13	0
291	19	7906	3	2	12	0	0	1001	689.25	-135.17	-134.55	85.13	1329.5	11	1000180400	10	1
291	19	8935	2	0	12	0	0	1001	1653.09	155.68	-197.76	181.61	1409.3	11	1000180400	8	1
291	19	8935	2	1	14	1	1	1008	608.64	239.38	449.00	-350.72	1543.0	14	1000150310	23	0
291	28	440	2	0	12	0	1	1004	679.86	93.16	-175.19	223.09	428.2	11	1000180400	19	1
291	28	440	2	1	14	1	0	1002	944.89	32.39	366.29	-464.40	801.8	14	1000120240	9	0
291	28	1911	1	0	12	0	0	1001	232.94	134.22	-186.07	78.04	308.9	11	1000180400	8	1
291	28	2162	1	0	12	0	2	1091	1829.92	-86.57	-84.75	494.63	852.6	11	1000180400	22	1
291	28	3972	2	0	14	0	0	1001	426.90	-599.60	175.50	858.45	429.3	13	1000120240	18	0
291	28	3972	2	1	12	0	1	1003	2351.83	-37.77	73.47	340.02	263.2	11	1000180400	11	1
291	28	6975	1	0	12	0	1	1003	2481.62	-132.57	151.64	21.13	1237.6	11	1000180400	17	1
291	28	7423	1	0	12	0	0	1001	347.62	-71.10	75.81	427.91	831.8	11	1000180400	10	1
291	28	8682	1	0	12	0	0	1001	1074.95	164.36	-23.50	413.69	1455.2	11	1000180400	10	1
291	28	8877	3	0	12	0	0	1001	671.57	-66.28	-131.36	100.09	1237.2	11	1000180400	16	1
291	28	8877	3	1	14	1	1	1000	2048.14	67.24	-114.80	486.55	569.9	14	1000180400	27	1
291	28	8877	3	2	14	0	0	1001	406.53	299.20	-203.66	-337.75	522.3	13	1000080160	8	0
291	28	11603	1	0	12	0	0	1001	1400.71	154.06	-26.10	283.17	1073.0	11	1000180400	9	1
291	28	12135	3	0	14	0	10	1000	785.64	-123.83	-149.50	759.40	1202.6	13	1000260560	13	0
291	28	12135	3	1	14	0	0	1001	696.10	-36.38	113.23	975.18	676.7	13	1000080160	9	0
291	28	12135	3	2	12	0	10	1000	849.46	121.73	180.01	17.73	288.7	11	1000180400	12	1
296	68	1078	1	0	12	0	1	1003	2254.62	106.18	74.10	444.74	1420.0	11	1000180400	12	1
296	68	3511	3	0	12	0	1	1003	1373.77	161.51	-180.07	56.52	1254.4	11	1000180400	16	1
296	68	3511	3	1	14	0	10	1000	557.29	-196.63	164.72	-423.88	953.9	13	1000200400	11	0
296	68	3511	3	2	14	0	1	1003	1014.70	-143.77	232.10	981.12	718.0	13	1000080160	13	0
296	68	7106	2	0	12	0	2	1091	2235.82	176.15	76.98	282.77	825.8	11	1000180400	21	1
296	68	7106	2	1	14	0	1	1004	573.01	22.25	33.04	265.07	675.2	13	1000180400	14	1
296	68	8037	2	0	12	0	0	1001	664.20	-132.45	184.43	238.52	520.5	11	1000180400	14	1
296	68	8037	2	1	14	0	0	1001	302.88	-532.40	371.72	-1.91	800.0	13	1000140280	8	0
296	68	9391	4	0	14	0	1	1003	924.58	592.70	-529.59	831.75	979.4	13	1000130270	11	0
296	68	9391	4	1	14	0	1	1003	831.35	-615.45	-256.26	-123.88	1362.2	13	1000140280	12	0
296	68	9391	4	2	12	0	0	1001	888.14	69.46	-43.90	171.80	746.0	11	1000180400	10	1
296	68	9391	4	3	14	0	0	1001	500.88	-509.65	-20.03	626.01	631.8	13	1000080160	9	0
296	68	10769	1	0	12	0	2	1091	2613.45	171.40	-182.03	158.10	161.6	11	1000180400	15	1
291	90	687	1	0	12	0	0	1001	1390.99	-77.67	193.27	118.07	405.7	11	1000180400	9	1
291	90	2904	1	0	12	0	0	1001	5227.83	-49.74	128.31	430.78	1096.1	11	1000180400	10	1
291	90	3899	2	0	14	0	1	1003	1082.04	-108.44	-228.83	-297.06	314.2	13	1000080160	18	0
291	90	3899	2	1	12	0	1	1004	2210.29	56.07	-159.02	356.99	1020.3	11	1000180400	18	1
291	90	5486	2	0	14	0	0	1001	707.27	-86.12	-163.73	955.07	943.5	13	1000080160	8	0
291	90	5486	2	1	12	0	0	1001	423.42	19.93	96.47	364.49	697.8	11	1000180400	9	1
291	90	5915	1	0	12	0	2	1091	2445.91	-142.63	140.63	265.93	1054.9	11	1000180400	15	1
291	90	8299	1	0	12	0	1	1005	2406.16	30.26	154.50	301.83	729.5	11	1000180400	12	1
291	90	8570	2	0	14	0	1	1003	1461.89	319.25	-469.25	591.83	231.7	13	1000140280	13	0
