run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
714	12	17	2	1	14	0	0	1001	366.17	347.05	-462.80	-54.89	1157.9	13	1000200400	9	0
714	12	18	1	0	14	0	0	1001	416.13	90.03	-237.92	194.94	996.5	13	1000180400	16	0
714	12	22	2	0	14	0	0	1001	351.04	202.30	361.96	350.65	1376.5	13	1000280590	14	0
714	12	22	2	1	14	1	0	1002	575.33	-657.01	384.37	-300.48	296.4	14	1000200400	11	0
714	12	24	2	0	14	0	1	1005	4127.30	128.05	-70.17	-273.89	598.4	13	1000080160	14	0
714	12	24	2	1	14	0	1	1000	1342.26	-146.06	-104.07	949.47	603.7	13	1000140280	14	0
714	12	26	1	0	14	1	1	1008	823.22	-86.35	229.36	200.82	900.2	14	1000180400	16	0
714	12	27	2	0	14	0	0	1001	364.97	210.31	-155.29	134.88	1464.8	13	1000180400	15	0
714	12	27	2	1	14	0	0	1001	479.62	91.21	-655.44	62.70	1331.0	13	1000140280	9	0
714	12	29	2	0	14	1	1	1008	697.78	-111.02	-259.24	145.32	520.4	14	1000180400	11	0
714	12	29	2	1	14	0	0	1001	401.75	-253.12	-478.35	663.53	631.1	13	1000080160	19	0
714	12	31	1	0	14	0	1	1004	1493.04	-81.37	-55.81	490.99	209.9	13	1000180400	11	1
714	12	34	2	0	14	0	1	1005	1408.17	-285.00	250.99	-281.20	1130.9	13	1000080160	15	0
714	12	34	2	1	14	0	1	1003	1857.20	449.12	-291.79	-310.08	143.6	13	1000080160	17	0
714	12	35	2	0	14	1	2	1092	3440.58	-671.84	0.43	671.74	538.8	14	1000080160	14	0
714	12	35	2	1	14	0	1	1003	1621.17	-92.27	-116.86	122.33	1087.9	13	1000180400	12	1
714	12	36	3	0	14	0	0	1001	607.61	-21.57	-175.21	594.49	366.3	13	1000180400	9	0
714	12	36	3	1	14	0	1	1003	1712.01	-451.22	237.30	-518.65	573.8	13	1000200400	11	0
714	12	36	3	2	14	0	1	1004	704.04	247.16	-138.70	-474.69	79.5	13	1000120240	15	0
714	12	41	2	0	14	0	0	1001	605.92	-458.00	-428.13	-164.61	870.5	13	1000140280	9	0
714	12	41	2	1	14	0	1	1004	514.78	-164.62	-62.11	-294.08	524.2	13	1000200400	16	0
714	12	42	2	0	14	0	1	1003	2066.56	-87.80	552.03	-602.59	172.2	13	1000200400	13	0
714	12	42	2	1	14	1	1	1007	1547.08	37.67	-184.43	418.20	187.6	14	1000180400	11	1
714	12	47	2	0	14	0	1	1003	4751.82	-140.48	283.66	1383.64	1375.4	13	1000200400	11	0
714	12	47	2	1	14	0	1	1005	1024.70	217.29	-165.58	508.93	246.9	13	1000260560	12	0
714	12	49	2	0	14	0	0	1001	952.87	-321.20	243.96	-314.96	694.3	13	1000080160	8	0
714	12	49	2	1	14	0	0	1001	853.94	-42.73	193.84	319.36	1361.1	13	1000180400	9	1
719	92	3	2	0	14	0	0	1001	454.41	577.58	-194.30	337.22	827.3	13	1000200400	9	0
719	92	3	2	1	14	0	0	1001	320.02	-63.99	16.41	238.83	1374.6	13	1000180400	16	1
719	92	6	2	0	14	0	1	1003	2340.67	-15.06	-241.57	-387.76	276.0	13	1000080160	13	0
719	92	6	2	1	14	1	0	1002	214.64	181.83	-591.58	204.99	122.9	14	1000130270	11	0
719	92	9	1	0	14	0	1	1000	1222.72	43.50	-217.36	-49.52	1575.7	13	1000180400	14	0
